make,",year",",model",",cc (size)",",trade-in value",",suggested retail value"
yamaha,1980,SR250 Exciter I,250,395,725
yamaha,1980,SR500,500,1535,3030
yamaha,1980,XJ650 Maxim 650,650,675,1220
yamaha,1980,XS1100,1100,810,1570
yamaha,1980,XS1100L Midnight Special 1100,1100,930,1765
yamaha,1980,XS1100S,1100,875,1675
yamaha,1980,XS400 Special II,400,505,875
yamaha,1980,XS400S,400,470,825
yamaha,1980,XS650 Special II,650,1085,1850
yamaha,1980,XS650S,650,1140,1935
yamaha,1980,XS850,850,560,945
yamaha,1980,XS850L Midnight Special 850,850,605,1005
yamaha,1980,XS850S,850,575,970
yamaha,1981,SR185 Exciter 185,185,415,750
yamaha,1981,SR250 Exciter 250,250,425,765
yamaha,1981,SR250T Exciter 250 T,250,425,765
yamaha,1981,SR500,500,1575,3095
yamaha,1981,XJ550 Maxim 550,550,685,1115
yamaha,1981,XJ550R Seca 550,550,595,995
yamaha,1981,XJ650 Maxim 650,650,685,1235
yamaha,1981,XJ650L Midnight Maxim 650,650,695,1250
yamaha,1981,XJ750R Seca 750,750,630,1045
yamaha,1981,XS1100 Venturer 1100,1100,955,1810
yamaha,1981,XS1100L Midnight Special 1100,1100,955,1810
yamaha,1981,XS1100S Eleven Special,1100,905,1720
yamaha,1981,XS400 Special II,400,530,910
yamaha,1981,XS400S,400,485,850
yamaha,1981,XS650 Special II,650,1130,1920
yamaha,1981,XS650S,650,1145,1950
yamaha,1981,XS850 Venturer 850,850,720,1165
yamaha,1981,XS850L Midnight Special 850,850,620,1030
yamaha,1981,XS850S,850,605,1005
yamaha,1981,XV750 Virago 750,750,675,1220
yamaha,1981,XV920R,920,810,1290
yamaha,1982,SR185 Exciter 185,185,440,790
yamaha,1982,SR250 Exciter 250,250,450,800
yamaha,1982,XJ1100 Maxim 1100,1100,895,1400
yamaha,1982,XJ550 Maxim 550,550,715,1155
yamaha,1982,XJ550R Seca 550,550,620,1030
yamaha,1982,XJ650 Maxim 650,650,705,1260
yamaha,1982,XJ650L Seca 650 Turbo,650,1095,1865
yamaha,1982,XJ650R Seca 650,650,685,1235
yamaha,1982,XJ750 Maxim 750,750,750,1205
yamaha,1982,XJ750R Seca 750,750,650,1070
yamaha,1982,XS400 Maxim 400,400,505,875
yamaha,1982,XS400R Seca 400,400,475,830
yamaha,1982,XS400S Heritage Special 400,400,560,945
yamaha,1982,XS650S Heritage Special 650,650,950,1640
yamaha,1982,XV750 Virago 750,750,705,1260
yamaha,1982,XV920 Virago 920,920,820,1300
yamaha,1982,XV920R,920,820,1300
yamaha,1982,XZ550R Vision 550,550,675,1105
yamaha,1983,XJ550 Maxim 550,550,730,1180
yamaha,1983,XJ550R Seca 550,550,640,1055
yamaha,1983,XJ650 Maxim 650,650,720,1290
yamaha,1983,XJ650L Seca 650 Turbo,650,1130,1920
yamaha,1983,XJ750 Maxim 750,750,765,1225
yamaha,1983,XJ750M Midnight Maxim 750,750,805,1275
yamaha,1983,XJ750R Seca 750,750,720,1165
yamaha,1983,XJ900R Seca 900,900,920,1435
yamaha,1983,XS400 Maxim 400,400,525,900
yamaha,1983,XS400R Seca 400,400,480,845
